
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  7.21             1.0    1.0   48.0    1.0    1.0   34.0    3.0    1.0   30.0   39.0
  7.28             1.0    1.0   22.0   20.0   17.0   42.0   35.0   18.0   21.0   17.0
  7.62             1.0    1.0   17.0    1.0    1.0   20.0    3.0    1.0   27.0   27.0
  7.81             1.0    1.0   26.0    1.0    1.0   16.0    2.0    1.0   10.0   12.0
  8                1.0    1.0   44.0   59.0   64.0   47.0   60.0   48.0   33.0   35.0
  8.06             1.0    1.0   31.0   24.0   29.0   89.0   43.0   22.0   67.0   34.0
  8.25             1.0    1.0   21.0   17.0   26.0   58.0   38.0   19.0   27.0   10.0
  8.49             1.0    1.0    4.0    1.0    1.0    6.0    4.0    1.0    1.0    3.0
  8.54             1.0    1.0    7.0    1.0    1.0   19.0    3.0    1.0   13.0   15.0
  8.6              1.0    1.0   62.0    1.0    1.0   34.0    1.0    1.0   36.0   28.0
  8.94             1.0    1.0   17.0    1.0    1.0   14.0    5.0    1.0   18.0   18.0
  9                1.0    1.0   64.0   53.0   53.0   61.0   55.0   42.0   64.0   73.0
  9.06             1.0    1.0    8.0   27.0   22.0   25.0   41.0    8.0   14.0   18.0
  9.22             1.0    1.0   49.0   39.0   22.0   71.0   40.0   11.0   47.0   36.0
  9.43             1.0    1.0   53.0    1.0    1.0   37.0    4.0    1.0   25.0   32.0
  9.49             1.0    1.0   12.0    1.0    1.0   14.0    4.0    1.0   17.0   19.0
  9.85             1.0    1.0    8.0    1.0    1.0   13.0    6.0    1.0   20.0   26.0
  9.9              1.0    1.0   16.0    1.0    1.0    3.0    1.0    1.0    2.0    7.0
  10               1.0    1.0   45.0   64.0   41.0   65.0   54.0   43.0   74.0   88.0
  10.05            1.0    1.0    1.0   28.0   30.0   34.0   32.0   19.0   15.0    3.0
  10.2             1.0    1.0    3.0   37.0   25.0   38.0   40.0   18.0    8.0    4.0
  10.3             1.0    1.0   45.0    1.0    1.0   26.0    7.0    1.0   22.0   16.0
  10.44            1.0    1.0   18.0    1.0    1.0   15.0    5.0    1.0   11.0   12.0
  10.63            1.0    1.0    8.0    1.0    1.0    5.0    3.0    1.0   11.0    9.0
  10.77            1.0    1.0   12.0    1.0    1.0   17.0    3.0    1.0    8.0    8.0
  10.82            1.0    1.0   58.0    1.0    1.0   31.0    5.0    1.0   30.0   45.0
  11               1.0    1.0   62.0   46.0   43.0   68.0   63.0   42.0   51.0   79.0
